,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
S01002027,"1,198",559,639,"1,135",63,3,5,245.59
S01002028,"2,533","1,122","1,411",752,"1,781",27,25,101.34
S01002029,770,358,412,770,-,11,2,308.39
S01002030,731,367,364,731,-,4,2,322.45
S01002031,688,340,348,688,-,1,27,25.42
S01002032,771,395,376,769,2,5,4,179.42
S01002033,772,406,366,764,8,2,19,41.6
S01002034,779,394,385,779,-,5,4,180.68
S01002035,730,350,380,730,-,6,16,46.01
S01002036,891,477,414,891,-,-,10,88.66
S01002037,677,342,335,677,-,2,3,197.22
S01002038,517,253,264,517,-,9,2,285.18
S01002039,694,355,339,694,-,10,129,5.39
S01002040,610,303,307,610,-,1,5,116.44
S01002041,888,457,431,866,22,6,7,123.71
S01002042,958,410,548,958,-,5,23,41.87
S01002043,719,339,380,719,-,1,11,63.17
S01002044,635,288,347,635,-,1,7,91.48
S01002045,"1,058",468,590,941,117,3,41,25.53
S01002046,567,313,254,567,-,2,4,148.29
S01002047,854,416,438,798,56,7,6,144.48
S01002048,879,409,470,757,122,5,5,168.01
S01002049,"1,121",548,573,"1,121",-,3,5,211.71
S01002050,738,348,390,734,4,4,23,32.38
S01002051,763,360,403,763,-,1,26,28.8
S01002052,875,493,382,875,-,2,4,214.45
S01002053,994,486,508,770,224,4,14,71.15
S01002054,650,306,344,557,93,3,3,189.99
S01002055,918,452,466,866,52,10,25,36.15
S01002056,907,429,478,907,-,2,20,46.35
S01002057,908,431,477,896,12,17,23,39.41
S01002058,"1,040",582,458,761,279,3,17,60.95
S01002059,684,414,270,684,-,1,8,89.35
S01002060,751,385,366,751,-,8,3,273.44
S01002061,705,366,339,705,-,2,3,254.28
S01002062,568,272,296,554,14,2,10,54.65
S01002063,"1,186",611,575,941,245,8,9,130.08
S01002064,"1,130",608,522,"1,130",-,2,15,76.01
S01002065,984,426,558,725,259,19,32,30.42
S01002066,"1,064",526,538,"1,064",-,5,30,35.95
S01002067,885,417,468,885,-,14,17,52.37
S01002068,937,535,402,937,-,6,3,274.22
S01002069,626,282,344,595,31,16,11,54.78
S01002070,658,345,313,658,-,3,7,87.93
S01002071,686,308,378,686,-,2,3,217.94
S01002072,"1,135",539,596,"1,135",-,13,43,26.4
S01002073,644,370,274,644,-,2,2,296.27
S01002074,670,326,344,670,-,10,15,43.78
S01002075,917,449,468,917,-,11,14,64.85
S01002076,846,419,427,829,17,1,5,167.32
S01002077,783,388,395,783,-,7,19,42.03
S01002078,"1,068",512,556,"1,068",-,20,"1,805",0.59
S01002079,"1,036",537,499,825,211,4,6,166.42
S01002080,996,470,526,996,-,14,22,44.57
S01002081,758,383,375,664,94,2,5,157.49
S01002082,848,403,445,848,-,8,13,63.06
S01002083,545,237,308,545,-,1,9,59.48
S01002084,796,436,360,796,-,1,8,98.37
S01002085,745,391,354,512,233,-,3,251.35
S01002086,631,329,302,597,34,-,5,123.04
S01002087,"1,053",510,543,"1,053",-,3,7,158.47
S01002088,968,430,538,934,34,3,23,41.74
S01002089,"1,014",503,511,"1,014",-,29,23,44.35
S01002090,"1,058",524,534,"1,057",1,12,37,28.86
S01002091,825,452,373,825,-,5,11,72.95
S01002092,"1,027",456,571,907,120,16,129,7.93
S01002093,990,459,531,754,236,2,8,121.76
S01002094,717,331,386,713,4,4,33,21.44
S01002095,581,267,314,520,61,15,40,14.61
S01002096,"1,441",762,679,"1,441",-,21,43,33.61
S01002097,782,358,424,754,28,9,18,43.34
S01002098,724,329,395,720,4,6,14,50.52
S01002099,853,456,397,851,2,7,12,69.45
S01002100,564,264,300,564,-,2,63,8.95
S01002101,"1,119",558,561,"1,048",71,3,237,4.73
S01002102,628,279,349,620,8,4,9,73.51
S01002103,616,291,325,616,-,9,11,56
S01002104,"1,429",630,799,992,437,8,8,171.55
S01002105,978,452,526,879,99,47,20,48.94
S01002106,955,493,462,784,171,2,10,97.73
S01002107,507,241,266,507,-,1,11,46.46
S01002108,"1,200",545,655,721,479,6,12,102.56
S01002109,936,525,411,936,-,4,24,39.07
S01002110,692,350,342,688,4,20,39,17.7
S01002111,"1,045",490,555,"1,045",-,16,27,38.05
S01002112,"1,098",531,567,"1,095",3,23,18,59.74
S01002113,742,362,380,742,-,18,21,35.8
S01002114,697,354,343,697,-,13,13,53.53
S01002115,"1,079",576,503,"1,031",48,13,15,71.17
S01002116,890,408,482,887,3,7,12,75.03
S01002117,732,396,336,705,27,1,20,36.49
S01002118,"1,164",586,578,877,287,-,10,113.97
S01002119,594,279,315,594,-,3,9,64.14
S01002120,715,339,376,715,-,9,14,52.09
S01002121,651,323,328,651,-,5,7,90.35
S01002122,965,439,526,869,96,50,35,27.21
S01002123,997,488,509,997,-,22,28,36.23
S01002124,957,482,475,953,4,11,17,56.37
S01002125,"1,102",492,610,"1,034",68,20,16,70.02
S01002126,601,297,304,601,-,3,7,87.21
S01002127,728,350,378,728,-,15,14,51.61
S01002128,771,409,362,726,45,15,28,27.14
S01002129,"1,025",523,502,777,248,2,17,59.87
S01002130,553,271,282,553,-,1,16,35.41
S01002131,821,444,377,731,90,2,44,18.71
S01002132,802,381,421,802,-,4,11,73.81
S01002133,998,529,469,998,-,18,18,56.64
S01002134,590,279,311,590,-,8,13,44.84
S01002135,868,429,439,868,-,36,94,9.22
S01002136,780,401,379,757,23,10,23,33.36
S01002137,859,398,461,859,-,4,14,60.99
S01002138,722,357,365,722,-,6,12,58.32
S01002139,675,335,340,675,-,11,5,127.93
S01002140,803,383,420,803,-,-,11,76.2
S01002141,730,339,391,723,7,7,10,74.29
S01002142,"1,088",526,562,"1,088",-,13,54,20.16
S01002143,731,342,389,731,-,3,24,30.73
S01002144,706,327,379,706,-,24,24,29.04
S01002145,"1,002",500,502,992,10,28,16,63.72
S01002146,"1,000",501,499,"1,000",-,2,5,217.83
S01002147,903,413,490,903,-,4,14,65.84
S01002148,888,435,453,888,-,31,30,29.77
S01002149,"1,018",498,520,"1,018",-,6,9,110.52
S01002150,703,331,372,703,-,5,7,102.32
S01002151,"1,544",800,744,"1,455",89,4,9,168.24
S01002152,843,398,445,804,39,19,17,50.3
S01002153,501,226,275,501,-,2,18,27.27
S01002154,822,371,451,822,-,4,12,69.9
S01002155,946,475,471,946,-,3,8,119.07
S01002156,727,357,370,727,-,8,20,35.91
S01002157,765,375,390,760,5,28,12,62.35
S01002158,800,390,410,800,-,12,11,72.51
S01002159,714,357,357,708,6,7,35,20.49
S01002160,891,425,466,883,8,1,36,24.41
S01002161,779,379,400,690,89,5,29,26.43
S01002162,"1,010",492,518,"1,010",-,9,12,81.16
S01002163,"1,050",544,506,"1,050",-,1,21,49.75
S01002164,804,372,432,804,-,3,20,39.42
S01002165,878,411,467,878,-,8,15,57.18
S01002166,818,412,406,818,-,21,7,113.74
S01002167,622,307,315,622,-,1,11,57.74
S01002168,"1,022",489,533,"1,021",1,15,8,129.26
S01002169,850,393,457,850,-,5,9,93.89
S01002170,880,410,470,839,41,1,22,39.75
S01002171,603,277,326,603,-,5,11,53.67
S01002172,704,334,370,703,1,10,16,44.38
S01002173,971,417,554,971,-,9,19,50.92
S01002174,882,397,485,882,-,9,7,122.07
S01002175,990,468,522,990,-,4,12,82.28
S01002176,765,369,396,765,-,4,21,35.85
S01002177,798,372,426,798,-,8,5,157.24
S01002178,877,427,450,877,-,5,6,153.89
S01002179,667,308,359,667,-,1,15,44.99
S01002180,585,310,275,573,12,2,5,118.76
S01002181,793,384,409,793,-,3,55,14.3
S01002182,772,412,360,765,7,18,5,149.46
S01002183,860,417,443,860,-,-,4,213.53
S01002184,763,360,403,763,-,12,26,28.94
S01002185,941,472,469,941,-,2,8,124.65
S01002186,733,341,392,733,-,4,3,231.7
S01002187,910,484,426,908,2,18,5,177.45
S01002188,770,360,410,766,4,10,31,24.71
S01002189,663,314,349,663,-,5,6,118
S01002190,844,429,415,829,15,7,5,165.73
S01002191,787,357,430,787,-,1,11,73.02
S01002192,876,421,455,876,-,10,15,58.57
S01002193,910,455,455,899,11,28,21,42.94
S01002194,816,377,439,816,-,6,18,45.04
S01002195,"1,113",562,551,"1,103",10,6,7,160.38
S01002196,637,304,333,637,-,8,16,39.51
S01002197,685,346,339,627,58,3,18,39
S01002198,792,387,405,792,-,3,4,186.31
S01002199,821,393,428,807,14,5,9,93.31
S01002200,"1,096",520,576,"1,096",-,24,28,39.63
S01002201,"1,060",533,527,"1,056",4,9,12,87.18
S01002202,853,409,444,851,2,9,11,74.78
S01002203,471,229,242,471,-,2,2,202.05
S01002204,708,343,365,708,-,2,9,76.87
S01002205,733,342,391,733,-,7,13,58.61
S01002206,"1,019",512,507,"1,019",-,-,7,153.32
S01002207,812,389,423,807,5,12,22,37.51
S01002208,680,314,366,680,-,1,6,117.58
S01002209,936,493,443,936,-,1,5,199.81
S01002210,552,258,294,552,-,14,6,85.32
S01002211,638,320,318,638,-,-,7,87.56
S01002212,"1,126",536,590,"1,126",-,4,12,97
S01002213,824,422,402,824,-,8,588,1.4
S01002214,764,369,395,764,-,9,11,70.3
S01002215,"1,135",514,621,"1,050",85,17,75,15.15
S01002216,"1,700",910,790,"1,700",-,4,18,96.99
S01002217,"1,275",636,639,"1,158",117,1,6,198.38
S01002218,562,274,288,562,-,3,3,165.33
S01002219,689,321,368,689,-,18,18,37.7
S01002220,782,391,391,782,-,18,24,32.43
S01002221,958,504,454,958,-,4,4,231.55
S01002222,870,426,444,870,-,26,27,32.53
S01002223,717,343,374,716,1,10,32,22.28
S01002224,912,446,466,912,-,31,32,28.17
S01002225,991,459,532,881,110,5,9,106.6
S01002226,"1,074",494,580,"1,073",1,5,7,163.05
S01002227,823,377,446,823,-,3,12,66.1
S01002228,983,481,502,983,-,8,70,14.13
S01002229,720,340,380,720,-,16,22,32.98
S01002230,"1,027",517,510,"1,024",3,4,8,134.19
S01002231,"1,166",576,590,721,445,8,47,24.62
S01002232,846,411,435,846,-,4,14,58.71
S01002233,952,482,470,952,-,5,5,205.85
S01002234,787,403,384,783,4,-,9,90.61
S01002235,"1,009",500,509,"1,009",-,1,17,59.54
S01002236,948,441,507,948,-,5,18,52.28
S01002237,"1,346",655,691,"1,298",48,3,12,109.08
S01002238,564,243,321,564,-,2,10,59.26
S01002239,949,480,469,941,8,5,8,112.59
S01002240,970,509,461,955,15,2,7,144.27
S01002241,"1,019",477,542,"1,012",7,9,21,48.18
S01002242,797,388,409,797,-,14,23,35.14
S01002243,842,424,418,841,1,2,6,140.51
S01002244,926,463,463,926,-,4,4,231.06
S01002245,"2,145","1,040","1,105","2,145",-,6,21,100.57
S01002246,947,492,455,947,-,3,4,234.2
S01002247,843,405,438,843,-,2,13,66.03
S01002248,"1,130",502,628,"1,078",52,23,47,23.96
S01002249,968,484,484,960,8,4,12,78.11
S01002250,925,421,504,925,-,4,6,159.51
S01002251,888,419,469,880,8,6,17,51.87
S01002252,755,390,365,697,58,22,79,9.61
S01002253,962,449,513,962,-,6,16,58.68
S01002254,908,481,427,908,-,2,6,141.12
S01002255,"1,690",888,802,"1,690",-,-,27,61.48
S01002256,"1,134",551,583,"1,134",-,9,20,55.66
S01002257,714,331,383,714,-,6,6,117.61
S01002258,888,430,458,888,-,2,6,161.03
S01002259,542,271,271,542,-,2,6,91.86
S01002260,870,421,449,870,-,26,27,32.28
S01002261,"1,057",487,570,"1,013",44,8,16,67.95
S01002262,807,395,412,807,-,9,13,60.35
S01002263,833,404,429,833,-,20,147,5.68
S01002264,852,398,454,850,2,7,6,153.52
S01002265,"1,661",784,877,"1,661",-,4,29,56.99
S01002266,749,395,354,749,-,3,6,117.2
S01002267,"1,073",532,541,"1,073",-,4,12,88.14
S01002268,750,374,376,750,-,12,15,49.52
S01002269,989,483,506,985,4,22,15,65.59
S01002270,"1,718",889,829,"1,704",14,9,17,103.17
S01002271,813,368,445,813,-,6,37,22.06
S01002272,775,351,424,775,-,8,12,64.69
S01002273,782,394,388,774,8,2,22,35.61
S01002274,"1,287",633,654,"1,287",-,5,25,52.18
S01002275,"1,478",720,758,"1,478",-,3,16,91.37
S01002276,884,428,456,826,58,22,36,24.24
S01002277,929,433,496,929,-,4,16,57.53
S01002278,"1,116",564,552,"1,104",12,-,11,104.03
S01002279,"1,505",720,785,"1,505",-,2,23,64.42
S01002280,792,376,416,792,-,10,10,75.82
S01002281,647,288,359,647,-,1,7,95.39
S01002282,266,134,132,266,-,1,10,27.36
S01002283,715,321,394,715,-,14,14,50.74
S01002284,"2,078","1,028","1,050","2,021",57,17,38,54.68
S01002285,998,495,503,998,-,3,8,128.15
S01002286,756,366,390,705,51,7,8,89.2
S01002287,692,330,362,689,3,16,12,57.64
S01002288,"1,345",683,662,"1,302",43,7,9,144.18
S01002289,"1,223",588,635,"1,223",-,7,16,76.81
S01002290,"1,000",533,467,969,31,2,5,192.46
S01002291,762,449,313,762,-,5,14,55.27
S01002292,"1,119",586,533,"1,113",6,5,7,166.74
S01002293,797,382,415,797,-,2,10,81.97
S01002294,675,319,356,626,49,15,23,29.43
S01002295,727,336,391,727,-,12,20,36.91
S01002297,868,411,457,868,-,4,15,57.41
S01002298,712,346,366,712,-,15,6,123.91
S01002299,781,363,418,781,-,9,111,7.05
S01002300,774,363,411,774,-,16,17,46.82
S01002301,"2,097","1,014","1,083","2,097",-,5,19,109.5
S01002302,982,460,522,982,-,2,11,85.51
S01002303,785,370,415,785,-,3,11,74.03
S01002304,"1,693",865,828,"1,693",-,5,13,126.1
S01002305,863,421,442,799,64,2,5,158.95
S01002306,477,243,234,471,6,11,6,82.5
S01002307,"1,086",560,526,"1,086",-,1,13,85.13
S01002308,961,436,525,961,-,7,13,75.7
S01002309,749,331,418,749,-,1,9,87.89
S01002310,"1,014",599,415,991,23,5,7,136.76
S01002311,881,410,471,881,-,20,56,15.82
S01002312,690,351,339,681,9,3,10,69.29
S01002313,734,358,376,726,8,16,11,69.02
S01002314,884,409,475,882,2,23,24,36.51
S01002315,569,268,301,569,-,6,9,64.96
S01002316,732,369,363,698,34,32,18,41.8
S01002317,"3,728","1,917","1,811","3,680",48,16,333,11.19
S01002318,901,467,434,897,4,3,10,88.81
S01002319,"1,094",511,583,"1,085",9,5,16,70.14
S01002320,619,292,327,610,9,11,9,67.64
S01002321,"1,128",558,570,"1,128",-,3,8,134.89
S01002322,664,321,343,650,14,9,10,66.04
S01002323,785,408,377,767,18,12,8,98.73
S01002324,755,369,386,755,-,5,19,39.34
S01002325,"1,784",890,894,"1,684",100,8,243,7.34
S01002326,"1,025",522,503,"1,019",6,2,11,91.55
S01002327,827,416,411,807,20,15,"2,206",0.37
S01002328,730,350,380,730,-,7,23,32.29
S01002329,680,321,359,680,-,4,11,61.2
S01002330,766,371,395,766,-,4,18,42.56
S01002331,701,350,351,701,-,3,9,76.53
S01002332,870,435,435,869,1,10,15,56.78
S01002333,752,392,360,752,-,11,12,63.06
S01002334,961,467,494,960,1,21,86,11.13
S01002335,916,445,471,916,-,13,36,25.65
S01002336,"1,021",487,534,"1,021",-,13,21,49.63
S01002337,893,427,466,893,-,11,76,11.76
S01002338,476,221,255,476,-,-,21,22.62
S01002339,621,305,316,609,12,20,"3,363",0.18
S01002340,643,315,328,637,6,22,"5,835",0.11
S01002341,530,266,264,528,2,13,"5,551",0.1
S01002342,622,303,319,604,18,10,"3,071",0.2
S01002343,745,397,348,743,2,18,"22,451",0.03
S01002344,519,264,255,517,2,7,"6,093",0.09
S01002345,811,417,394,807,4,14,"2,534",0.32
S01002346,888,444,444,873,15,32,"19,179",0.05
S01002347,731,364,367,731,-,22,"16,573",0.04
S01002348,936,463,473,908,28,15,"22,671",0.04
S01002349,980,495,485,959,21,11,"25,935",0.04
S01002350,918,472,446,918,-,13,"42,547",0.02
S01002351,773,366,407,768,5,20,"48,445",0.02
S01002352,892,442,450,892,-,18,"6,615",0.13
S01002353,837,418,419,837,-,15,"1,143",0.73
S01002354,872,427,445,868,4,24,818,1.07
S01002355,849,391,458,808,41,4,66,12.87
S01002356,872,427,445,846,26,22,61,14.29
S01002357,625,278,347,600,25,8,25,25.06
S01002358,496,249,247,494,2,7,"5,333",0.09
S01002359,869,364,505,801,68,14,23,37.12
S01002360,653,300,353,620,33,5,20,32.22
S01002361,654,314,340,630,24,7,212,3.08
S01002362,805,382,423,802,3,9,"1,252",0.64
S01002363,"1,090",531,559,"1,081",9,18,550,1.98
S01002364,661,342,319,656,5,12,22,30.27
S01002365,616,298,318,616,-,6,"1,070",0.58
S01002366,893,445,448,893,-,18,705,1.27
S01002367,"1,074",549,525,"1,074",-,17,"13,848",0.08
S01002368,930,460,470,927,3,15,457,2.03
S01002369,621,320,301,617,4,12,"7,267",0.09
S01002370,733,367,366,733,-,11,"11,320",0.06
S01002371,709,371,338,709,-,9,"6,416",0.11
S01002372,761,380,381,761,-,5,"7,805",0.1
S01002373,660,333,327,656,4,8,"15,383",0.04
S01002374,795,409,386,795,-,6,"1,288",0.62
S01002375,892,437,455,888,4,2,"1,388",0.64
S01002376,892,403,489,890,2,3,"1,700",0.52
S01002377,871,426,445,858,13,-,"1,191",0.73
S01002378,512,255,257,512,-,7,"2,019",0.25
S01002379,"1,164",549,615,"1,164",-,2,"1,462",0.8
S01002380,810,405,405,810,-,5,31,25.77
S01002381,895,421,474,895,-,5,26,34.79
S01002382,633,298,335,633,-,3,23,27.59
S01002383,525,257,268,525,-,1,14,38.17
S01002384,520,247,273,520,-,1,18,29.64
S01002385,776,384,392,776,-,2,16,47.29
S01002386,"1,002",496,506,"1,002",-,4,21,47.57
S01002387,726,347,379,726,-,2,15,48.93
S01002388,737,381,356,737,-,4,16,46.72
S01002389,693,336,357,693,-,8,29,24.13
S01002390,"1,156",569,587,"1,121",35,12,414,2.79
S01002391,"1,456",713,743,"1,448",8,19,"1,681",0.87
S01002392,"1,884",934,950,"1,870",14,16,92,20.54
S01002393,"1,027",508,519,"1,027",-,7,32,32.49
S01002394,797,402,395,791,6,8,870,0.92
S01002395,730,372,358,730,-,2,22,33.23
S01002396,693,343,350,693,-,6,17,41.33
S01002397,"1,752","1,110",642,"1,252",500,3,81,21.62
S01002398,760,383,377,760,-,2,25,30.07
S01002399,984,481,503,984,-,1,34,28.95
S01002400,807,396,411,807,-,4,19,42.93
S01002401,"1,141",571,570,"1,141",-,10,26,43.58
S01002402,817,383,434,817,-,-,13,61.24
S01002403,743,353,390,743,-,3,10,71.47
S01002404,"1,010",477,533,972,38,9,23,44.12
S01002405,702,361,341,702,-,2,15,46.99
S01002406,894,412,482,836,58,3,33,26.8
S01002407,683,335,348,683,-,6,9,73.47
S01002408,829,397,432,829,-,3,18,46.16
S01002409,656,304,352,597,59,5,28,23.22
S01002410,498,247,251,498,-,2,11,46.92
S01002411,"2,706","1,337","1,369","2,675",31,11,"1,773",1.53
S01002412,918,462,456,918,-,8,21,43.6
S01002413,628,303,325,628,-,4,52,12.08
S01002414,623,297,326,623,-,-,23,27.65
S01002415,721,333,388,721,-,2,12,57.93
S01002416,572,285,287,569,3,2,"1,373",0.42
S01002417,631,289,342,631,-,3,25,25.61
S01002418,886,409,477,886,-,-,29,30.81
S01002419,554,275,279,554,-,8,20,27.35
S01002420,651,286,365,585,66,-,38,16.93
S01002421,814,406,408,809,5,10,"1,078",0.75
S01002422,548,274,274,548,-,10,22,24.5
S01002423,890,409,481,890,-,4,22,39.91
S01002424,838,410,428,838,-,3,21,39.19
S01002425,916,446,470,916,-,2,60,15.21
S01002426,667,343,324,667,-,4,13,51.78
S01002427,821,400,421,821,-,4,24,34.6
S01002428,536,259,277,536,-,1,426,1.26
S01002429,747,319,428,747,-,-,13,57.58
S01002430,669,319,350,652,17,6,27,24.62
S01002431,859,418,441,859,-,-,18,46.66
S01002432,"1,456",733,723,"1,450",6,13,"1,091",1.33
S01002433,558,253,305,558,-,2,9,63.52
S01002434,926,462,464,926,-,1,19,47.64
S01002435,664,336,328,664,-,2,15,43.56
S01002436,761,346,415,746,15,2,27,28.64
S01002437,799,398,401,799,-,2,81,9.83
S01002438,677,328,349,677,-,1,29,23.05
S01002439,742,354,388,726,16,3,13,56.99
S01002440,867,406,461,866,1,1,21,40.76
S01002441,634,330,304,634,-,4,23,27.35
S01002442,472,251,221,472,-,3,15,31.65
S01002443,630,306,324,630,-,2,12,50.51
S01002444,511,246,265,511,-,1,13,37.89
S01002445,911,435,476,904,7,-,18,49.58
S01002446,972,447,525,899,73,6,53,18.18
S01002447,694,321,373,694,-,2,14,47.93
S01002448,548,270,278,548,-,1,8,70.09
S01002449,645,321,324,645,-,3,17,38.41
S01002450,709,357,352,709,-,4,20,35.32
S01002451,"1,003",500,503,"1,003",-,2,14,70.65
S01002452,538,253,285,538,-,2,6,88.15
S01002453,688,335,353,688,-,11,27,25.85
S01002454,725,342,383,725,-,7,31,23.4
S01002455,553,278,275,553,-,5,10,55.99
S01002456,"1,022",490,532,969,53,5,43,23.96
S01002457,750,381,369,750,-,3,24,30.63
S01002458,931,439,492,931,-,-,30,30.85
S01002459,501,284,217,501,-,1,9,54.86
S01002460,839,404,435,839,-,-,14,58.47
S01002461,478,223,255,478,-,3,9,52.09
S01002462,700,356,344,700,-,1,28,24.64
S01002463,895,439,456,895,-,2,22,41
S01002464,574,290,284,574,-,-,9,62.45
S01002465,712,363,349,712,-,6,19,37.17
S01002466,"1,010",495,515,"1,010",-,1,13,78.54
S01002467,488,229,259,465,23,2,12,40.42
S01002468,674,329,345,618,56,2,21,32
S01002469,638,288,350,638,-,2,10,66.05
S01002470,833,398,435,819,14,1,24,34.8
S01002471,556,262,294,556,-,2,14,39.43
S01002472,581,285,296,581,-,4,7,79.23
S01002473,921,483,438,921,-,1,75,12.34
S01002474,406,200,206,406,-,4,6,72.07
S01002475,550,238,312,550,-,-,18,30.33
S01002476,861,437,424,861,-,7,35,24.63
S01002477,813,388,425,803,10,-,28,29.05
S01002478,895,435,460,895,-,3,21,42.31
S01002479,720,353,367,720,-,2,29,24.95
S01002480,536,256,280,536,-,4,10,54.37
S01002481,934,435,499,934,-,1,22,41.89
S01002482,"1,021",504,517,"1,021",-,3,11,90.49
S01002483,672,336,336,672,-,-,11,63.52
S01002484,810,409,401,810,-,4,16,49.42
S01002485,830,424,406,830,-,4,147,5.64
S01002486,604,289,315,604,-,-,7,80.74
S01002487,481,247,234,481,-,2,8,62.84
S01002488,647,312,335,647,-,-,15,41.89
S01002489,600,291,309,600,-,-,9,64.66
S01002490,568,265,303,567,1,-,10,58.39
S01002491,476,208,268,476,-,-,12,41.27
S01002492,942,465,477,942,-,12,53,17.76
S01002493,920,438,482,920,-,1,16,56.98
S01002494,627,297,330,627,-,3,16,39.04
S01002495,627,289,338,627,-,-,12,53.23
S01002496,"1,243",635,608,"1,243",-,2,334,3.72
S01002497,824,403,421,780,44,3,15,56.82
S01002498,631,313,318,631,-,8,17,36.46
S01002499,909,423,486,909,-,-,138,6.57
S01002500,567,310,257,567,-,1,56,10.14
S01002501,478,228,250,478,-,7,20,24.05
S01002502,822,386,436,822,-,2,55,14.98
S01002503,684,349,335,640,44,3,36,19.24
S01002504,"1,387",703,684,"1,369",18,4,482,2.88
S01002505,738,351,387,738,-,8,22,33.07
S01002506,810,377,433,810,-,-,16,50.69
S01002507,589,250,339,589,-,-,12,50.64
S01002508,869,428,441,847,22,5,29,29.96
S01002509,"1,149",560,589,"1,121",28,5,78,14.72
S01002510,958,450,508,958,-,7,23,41.71
S01002511,483,220,263,483,-,1,11,43.27
S01002512,633,350,283,633,-,2,35,18
S01002513,"1,685",804,881,"1,598",87,10,27,61.28
S01002514,532,262,270,532,-,3,33,16.07
S01002515,602,290,312,602,-,2,9,67.39
S01002516,787,397,390,763,24,5,105,7.47
S01002517,583,278,305,583,-,3,10,60.11
S01002518,"1,069",509,560,"1,069",-,5,68,15.79
S01002519,806,384,422,806,-,-,12,65.28
S01002520,592,292,300,579,13,2,15,38.8
S01002521,583,278,305,579,4,1,20,29.31
S01002522,733,357,376,733,-,7,19,37.96
S01002523,682,325,357,682,-,9,18,37.76
S01002524,566,284,282,558,8,-,7,78.14
S01002525,686,333,353,686,-,2,25,27.92
S01002526,527,262,265,509,18,5,25,21.07
S01002527,822,406,416,822,-,2,16,52.26
S01002528,807,404,403,807,-,6,"2,127",0.38
S01002529,"1,147",563,584,"1,147",-,1,36,31.81
S01002530,647,315,332,647,-,5,13,50.95
S01002531,811,406,405,811,-,-,139,5.84
S01002532,693,346,347,693,-,2,12,59.11
S01002533,819,396,423,819,-,4,13,61.54
S01002534,935,448,487,935,-,-,18,51.78
S01002535,901,453,448,881,20,7,31,28.72
S01002536,626,291,335,626,-,2,22,28.86
S01002537,554,275,279,554,-,-,12,47.29
S01002538,927,453,474,852,75,6,23,39.92
S01002539,781,360,421,745,36,1,20,39.76
S01002540,555,267,288,554,1,3,16,34.47
S01002541,"1,917",937,980,"1,842",75,10,40,48.17
S01002542,684,335,349,684,-,11,29,23.48
S01002543,532,278,254,532,-,-,14,38.46
S01002544,857,419,438,857,-,3,28,30.55
S01002545,786,382,404,786,-,3,43,18.37
S01002546,796,375,421,796,-,-,15,54.53
